SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES
HDFC,EQ,1128.25,1131.35,1110.15,1115.3,1115.5,1125.75,4842266,5401147634,30-Mar-16,148632
HDFC,EQ,1111,1118.95,1098,1105.6,1107,1115.3,9556036,10568219109,31-Mar-16,175689
HDFC,EQ,1100,1117.8,1092.25,1113.4,1115.2,1105.6,3894156,4295292842,01-Apr-16,136099
HDFC,EQ,1122.5,1124.25,1095.6,1103.7,1099.5,1113.4,3275522,3619459664,04-Apr-16,88687
HDFC,EQ,1102,1111,1085.5,1103.45,1098.15,1103.7,4368286,4816385896,05-Apr-16,94052
HDFC,EQ,1112.35,1112.35,1091.2,1102.05,1103.1,1103.45,2913779,3203914076,06-Apr-16,93310
HDFC,EQ,1100,1100,1065.5,1070.85,1073,1102.05,4883634,5245619614,07-Apr-16,169971
HDFC,EQ,1071.8,1082.85,1068.15,1079.55,1077.05,1070.85,1944688,2092626361,08-Apr-16,70961
HDFC,EQ,1083.95,1084.7,1060.15,1079.8,1079.75,1079.55,3737043,4012254355,11-Apr-16,88223
HDFC,EQ,1085,1091.95,1076.05,1090.5,1088.6,1079.8,1864121,2025165706,12-Apr-16,56077
HDFC,EQ,1098.1,1117.45,1093.65,1114.95,1115,1090.5,3361554,3732922844,13-Apr-16,98823
HDFC,EQ,1130,1139.4,1093.45,1132.4,1135,1114.95,3916572,4391374578,18-Apr-16,120284
HDFC,EQ,1148.7,1158.65,1135,1140,1143,1132.4,4669646,5343229421,20-Apr-16,158599
HDFC,EQ,1145,1157.45,1140.2,1150.1,1149.1,1140,6522775,7510993401,21-Apr-16,152047
HDFC,EQ,1141,1152.05,1121.95,1131.9,1130,1150.1,2628319,2977251278,22-Apr-16,135116
HDFC,EQ,1120,1127.5,1106.3,1112,1114,1131.9,1859499,2072414960,25-Apr-16,71243
HDFC,EQ,1104,1131.85,1103.05,1127.3,1129.5,1112,2511483,2807663453,26-Apr-16,71574
HDFC,EQ,1122.4,1128.5,1113.1,1121.5,1121.5,1127.3,1866265,2089420083,27-Apr-16,47979
HDFC,EQ,1121,1126.4,1082.05,1085.55,1086.55,1121.5,5791623,6348695236,28-Apr-16,113552
HDFC,EQ,1084.8,1102.25,1074.2,1088.45,1090,1085.55,4202421,4567709246,29-Apr-16,129121
HDFC,EQ,1091.45,1097,1078.55,1091.9,1093.1,1088.45,2394549,2607134674,02-May-16,85186
HDFC,EQ,1097,1116.55,1095.05,1099.6,1101.9,1091.9,3372825,3726103060,03-May-16,98895
HDFC,EQ,1099,1138,1098,1129.9,1130.5,1099.6,4419894,4984953114,04-May-16,131063
HDFC,EQ,1137,1176.2,1135,1162.65,1163.2,1129.9,4663686,5418495123,05-May-16,130606
HDFC,EQ,1161,1173.95,1149.1,1167.8,1167.3,1162.65,2591447,3012184108,06-May-16,86348
HDFC,EQ,1168.1,1207,1168.1,1203.6,1206.15,1167.8,2462695,2943742528,09-May-16,88854
HDFC,EQ,1202.2,1220.45,1197,1218.55,1215.05,1203.6,2687851,3256198474,10-May-16,98217
HDFC,EQ,1207.5,1221.5,1200.2,1203.8,1204,1218.55,3080420,3727689310,11-May-16,90490
HDFC,EQ,1204,1212.45,1190,1195.85,1196.1,1203.8,1850802,2220877088,12-May-16,53012
HDFC,EQ,1192,1203.1,1158.65,1166,1165.2,1195.85,2819653,3305180312,13-May-16,132591
HDFC,EQ,1164.4,1191,1160.5,1186.45,1186.65,1166,2309079,2705542976,16-May-16,86899
HDFC,EQ,1197.5,1230,1191.25,1217.85,1215,1186.45,3760375,4577723524,17-May-16,145858
HDFC,EQ,1205.25,1214.3,1196.4,1208.2,1208,1217.85,4337073,5230260518,18-May-16,100047
HDFC,EQ,1208.5,1208.55,1173.3,1175.85,1175,1208.2,2454891,2907362068,19-May-16,133917
HDFC,EQ,1178.1,1193.8,1172.15,1179.55,1180,1175.85,3001619,3558950718,20-May-16,98201
HDFC,EQ,1184,1187.25,1158.4,1160.25,1162.15,1179.55,1882187,2195696545,23-May-16,59311
HDFC,EQ,1163.9,1177.9,1159.15,1172.75,1175,1160.25,1650889,1927462403,24-May-16,93151
HDFC,EQ,1186,1212.45,1182.2,1207.05,1208,1172.75,2675175,3219477712,25-May-16,106301
HDFC,EQ,1210.4,1235,1191.7,1228.25,1229.25,1207.05,2940863,3577226131,26-May-16,119948
HDFC,EQ,1230,1268.4,1218.35,1255.55,1250,1228.25,3246784,4042942641,27-May-16,84204
HDFC,EQ,1255.2,1259,1212.35,1233.95,1235,1255.55,2889133,3559819999,30-May-16,107205
HDFC,EQ,1235.05,1247.8,1222.35,1237.7,1242.15,1233.95,5155776,6369295967,31-May-16,89939
HDFC,EQ,1242.15,1248.35,1230,1243.25,1242.65,1237.7,2279936,2828387550,01-Jun-16,70333
HDFC,EQ,1236.05,1263.5,1232.55,1260.55,1258.45,1243.25,1671551,2081536113,02-Jun-16,90166
HDFC,EQ,1266,1268.8,1246,1254.9,1256.25,1260.55,1801598,2261490781,03-Jun-16,61484
HDFC,EQ,1261,1264.95,1247.7,1251.65,1256,1254.9,1879964,2355988760,06-Jun-16,61962
HDFC,EQ,1256.5,1260,1242.8,1251.3,1250,1251.65,2976354,3722033358,07-Jun-16,100145
HDFC,EQ,1252.2,1267,1247.6,1262.5,1255,1251.3,2594901,3274581800,08-Jun-16,75496
HDFC,EQ,1257,1258,1233.35,1237.5,1240,1262.5,2153365,2673824521,09-Jun-16,77338
HDFC,EQ,1233,1251.7,1228,1230.4,1231,1237.5,2144364,2647961616,10-Jun-16,96555
HDFC,EQ,1218.05,1225,1201.2,1205.35,1208.1,1230.4,4888040,5910481479,13-Jun-16,96393
HDFC,EQ,1208.3,1209.4,1189,1198.2,1199.8,1205.35,2396987,2863369253,14-Jun-16,94408
HDFC,EQ,1206.2,1209.4,1189.25,1205.15,1205,1198.2,2921199,3501207251,15-Jun-16,66597
HDFC,EQ,1198,1205.8,1182.15,1200.95,1200.7,1205.15,1840887,2199230373,16-Jun-16,108127
HDFC,EQ,1215,1235.9,1210.35,1227.3,1223,1200.95,2684017,3284774379,17-Jun-16,111231
HDFC,EQ,1212,1234,1206,1227.55,1230.15,1227.3,2128249,2607357335,20-Jun-16,60941
HDFC,EQ,1233,1242.4,1220,1238.15,1235.6,1227.55,2277146,2809229016,21-Jun-16,52366
HDFC,EQ,1234,1241.8,1225,1238.35,1237.5,1238.15,2568936,3168798373,22-Jun-16,72434
HDFC,EQ,1237.9,1249.45,1228.2,1245.5,1243.05,1238.35,1323818,1640339024,23-Jun-16,55418
HDFC,EQ,1210,1225.9,1201,1222.75,1225,1245.5,2579159,3130957510,24-Jun-16,54945
HDFC,EQ,1211.1,1229.75,1210.55,1214.6,1217,1222.75,1699797,2074955299,27-Jun-16,53778
HDFC,EQ,1211.25,1231.65,1211.25,1228.9,1229,1214.6,1264518,1547015923,28-Jun-16,76645
HDFC,EQ,1233.05,1251,1231.05,1248.55,1248,1228.9,1880015,2336944805,29-Jun-16,77204
HDFC,EQ,1260,1266.25,1243.05,1253.6,1252.6,1248.55,4774341,5989484793,30-Jun-16,105864
HDFC,EQ,1253.5,1262.8,1237.7,1242.35,1243,1253.6,2112124,2640440262,01-Jul-16,67497
HDFC,EQ,1252,1266.1,1247,1256.25,1259.6,1242.35,1125696,1415762484,04-Jul-16,49123
HDFC,EQ,1257.5,1263.45,1245.7,1260.7,1259.45,1256.25,1261841,1584228831,05-Jul-16,33726
